Datum;Ts_in;m_s;Ts_out;I_dir;I_diff;I_glob;T_amb;rho
18.11. 07:15:00;32.8;948;27;0;1;1;4.1;89.6
18.11. 07:30:00;32;0;26.5;0;1;1;4.1;89.6
18.11. 07:45:00;31.3;0;26.1;0;1;1;4.1;89.6
18.11. 08:00:00;30.8;948;25.8;0;8;8;4.3;88.9
18.11. 08:15:00;33.4;950;23.4;0;8;8;4.3;88.9
18.11. 08:30:00;32.1;946;26.3;0;8;8;4.3;88.9
18.11. 08:45:00;31.5;0;25.9;0;8;8;4.3;88.9
18.11. 09:00:00;30.9;0;25.6;108;99.5;124;6.2;78.7
18.11. 09:15:00;30.3;0;25.2;108;100;125;6.2;78.6
18.11. 09:30:00;29.8;0;24.8;108;100;125;6.2;78.6
18.11. 09:45:00;29.2;0;24.5;108;100;125;6.2;78.6
18.11. 10:00:00;28.7;0;24.2;0;96;96.2;6.8;76.1
18.11. 10:15:00;28.1;0;23.9;0;96;96;6.8;76.1
18.11. 10:30:00;27.6;0;23.6;0;96;96;6.8;76.1
18.11. 10:45:00;27.2;0;23.3;0;96;96;6.8;76.1
18.11. 11:00:00;26.7;0;23.1;15.9;159;165;7.7;73.1
18.11. 11:15:00;26.3;0;22.8;15.9;159;165;7.7;73.1
18.11. 11:30:00;25.9;0;22.6;15.9;159;165;7.7;73.1
18.11. 11:45:00;25.5;0;22.4;15.9;159;165;7.7;73.1
18.11. 12:00:00;25.1;0;22.2;23.3;172;181;8.5;67.7
18.11. 12:15:00;24.8;0;22;23.3;172;181;8.5;67.7
18.11. 12:30:00;24.5;0;21.8;23.3;172;181;8.5;67.7
18.11. 12:45:00;24.1;0;21.6;23.3;172;181;8.5;67.7
18.11. 13:00:00;23.9;0;21.4;28.5;159;169;9;66.9
18.11. 13:15:00;23.6;0;21.2;28.5;159;169;9;66.9
18.11. 13:30:00;23.3;0;21.1;28.5;159;169;9;66.9
18.11. 13:45:00;23;0;20.9;28.5;159;169;9;66.9
18.11. 14:00:00;22.8;0;20.8;18.3;111;116;9.1;64.9
18.11. 14:15:00;22.6;0;20.7;18.3;111;116;9.1;64.9
18.11. 14:30:00;22.3;0;20.5;18.3;111;116;9.1;64.9
18.11. 14:45:00;22.1;0;20.4;18.3;111;116;9.1;64.9
18.11. 15:00:00;21.9;0;20.3;200;70.2;101;9;66.6
18.11. 15:15:00;21.7;0;20.2;200;70;101;9;66.6
18.11. 15:30:00;21.6;0;20.1;200;70;101;9;66.6
18.11. 15:45:00;21.4;0;20;200;70;101;9;66.6
18.11. 16:00:00;21.2;0;19.9;0;6.4;6.5;8.2;69.4
18.11. 16:15:00;21.1;0;19.8;0;6;6;8.2;69.4
18.11. 16:30:00;20.9;0;19.7;0;6;6;8.2;69.4
18.11. 16:45:00;20.8;0;19.6;0;6;6;8.2;69.4
18.11. 17:00:00;20.6;0;19.5;0;0.03;0.03;8;67.5
18.11. 17:15:00;20.5;0;19.4;0;0;0;8;67.5
18.11. 17:30:00;20.4;0;19.4;0;0;0;8;67.5
18.11. 17:45:00;20.2;0;19.3;0;0;0;8;67.5
18.11. 18:00:00;20.1;0;19.2;0;0;0;7.9;70.2
18.11. 18:15:00;20;0;19.2;0;0;0;7.9;70.2
18.11. 18:30:00;24.3;947;19.1;0;0;0;7.9;70.2
18.11. 18:45:00;30.6;949;22.5;0;0;0;7.9;70.2
18.11. 19:00:00;30.3;0;22.3;0;0;0;7.7;78.1
18.11. 19:15:00;29.8;0;22;0;0;0;7.7;78.1
18.11. 19:30:00;29.3;0;21.8;0;0;0;7.7;78.1
18.11. 19:45:00;28.8;0;21.6;0;0;0;7.7;78.1
18.11. 20:00:00;29.9;946;21.1;0;0;0;7.6;76.8
18.11. 20:15:00;31.9;948;22.7;0;0;0;7.6;76.8
18.11. 20:30:00;33.8;0;27.7;0;0;0;7.6;76.8
18.11. 20:45:00;33.2;0;27.1;0;0;0;7.6;76.8
18.11. 21:00:00;32.5;0;26.6;0;0;0;7.4;79.3
18.11. 21:15:00;31.8;0;26.2;0;0;0;7.4;79.3
18.11. 21:30:00;31.1;0;25.8;0;0;0;7.4;79.3
18.11. 21:45:00;30;949;24.1;0;0;0;7.4;79.3
18.11. 22:00:00;31.5;950;23.4;0;0;0;7.2;79.6
18.11. 22:15:00;31.8;0;26.1;0;0;0;7.2;79.6
18.11. 22:30:00;31;0;25.6;0;0;0;7.2;79.6
18.11. 22:45:00;30.4;0;25.3;0;0;0;7.2;79.6
18.11. 23:00:00;30.3;948;24.2;0;0;0;7.1;82.3
18.11. 23:15:00;31.9;950;22.2;0;0;0;7.1;82.3
18.11. 23:30:00;29.8;947;27;0;0;0;7.1;82.3
18.11. 23:45:00;29.5;0;26.6;0;0;0;7.1;82.3
19.11. 00:00:00;29;0;26.2;0;0;0;7;78.3
19.11. 00:15:00;28.5;0;25.8;0;0;0;7;78.2
19.11. 00:30:00;28;0;25.4;0;0;0;7;78.2
19.11. 00:45:00;28.8;947;23.9;0;0;0;7;78.2
19.11. 01:00:00;31;949;22.6;0;0;0;6.7;83.9
19.11. 01:15:00;30.2;946;26.6;0;0;0;6.7;84
19.11. 01:30:00;29.8;0;26.2;0;0;0;6.7;84
19.11. 01:45:00;29.2;0;25.8;0;0;0;6.7;84
19.11. 02:00:00;28.7;0;25.4;0;0;0;6.8;90.1
19.11. 02:15:00;28.2;0;25;0;0;0;6.8;90.2
19.11. 02:30:00;29.1;951;23.6;0;0;0;6.8;90.2
19.11. 02:45:00;32.5;953;22.9;0;0;0;6.8;90.2
19.11. 03:00:00;29.2;947;27;0;0;0;6.7;88.5
19.11. 03:15:00;28.8;0;26.6;0;0;0;6.7;88.5
19.11. 03:30:00;28.3;0;26.1;0;0;0;6.7;88.5
19.11. 03:45:00;27.8;0;25.8;0;0;0;6.7;88.5
19.11. 04:00:00;27.4;0;25.4;0;0;0;6.7;92.4
19.11. 04:15:00;28.2;947;23.9;0;0;0;6.7;92.4
19.11. 04:30:00;32.2;949;22.7;0;0;0;6.7;92.4
19.11. 04:45:00;34;0;27.9;0;0;0;6.7;92.4
19.11. 05:00:00;33.3;0;27.4;0;0;0;6.7;92.3
19.11. 05:15:00;32.6;0;26.9;0;0;0;6.7;92.3
19.11. 05:30:00;32;0;26.5;0;0;0;6.7;92.3
19.11. 05:45:00;31.2;0;26;0;0;0;6.7;92.3
19.11. 06:00:00;31.5;949;20.9;0;0;0;6.6;94.5
19.11. 06:15:00;30.2;951;27;0;0;0;6.6;94.5
19.11. 06:30:00;29.8;0;26.5;0;0;0;6.6;94.5
19.11. 06:45:00;29.4;0;26.1;0;0;0;6.6;94.5
19.11. 07:00:00;29;0;25.8;0;1;1;6.7;94.3
19.11. 07:15:00;28.4;0;25.4;0;1;1;6.7;94.3
19.11. 07:30:00;28.8;953;24;0;1;1;6.7;94.3
19.11. 07:45:00;31.8;954;22.4;0;1;1;6.7;94.3
19.11. 08:00:00;31.4;949;27.8;0;29.8;29.8;7.3;89.2
19.11. 08:15:00;31.2;0;27.2;0;30;30;7.3;89.2
19.11. 08:30:00;30.6;0;26.7;0;30;30;7.3;89.2
19.11. 08:45:00;30;0;26.3;0;30;30;7.3;89.2
19.11. 09:00:00;29.5;0;25.9;0;65.8;65.8;8;84.8
19.11. 09:15:00;28.9;0;25.5;0;66;66;8;84.8
19.11. 09:30:00;28.4;0;25.2;0;66;66;8;84.8
19.11. 09:45:00;28.8;947;23.8;0;66;66;8;84.8
19.11. 10:00:00;29.7;947;21.7;0;88.9;88.9;8.6;81.6
19.11. 10:15:00;29.1;0;21.5;0;89;89;8.6;81.6
19.11. 10:30:00;28.6;0;21.4;0;89;89;8.6;81.6
19.11. 10:45:00;28.1;0;21.2;0;89;89;8.6;81.6
19.11. 11:00:00;27.6;0;21.1;8;151;154;9.5;76.7
19.11. 11:15:00;27.1;0;20.9;8;151;154;9.5;76.7
19.11. 11:30:00;26.7;0;20.8;8;151;154;9.5;76.7
19.11. 11:45:00;26.3;0;20.7;8;151;154;9.5;76.7
19.11. 12:00:00;25.9;0;20.5;15.7;156;162;10.2;71
19.11. 12:15:00;25.5;0;20.4;15.7;156;162;10.2;71
19.11. 12:30:00;25.1;0;20.3;15.7;156;162;10.2;71
19.11. 12:45:00;24.8;0;20.2;15.7;156;162;10.2;71
19.11. 13:00:00;24.4;0;20.1;11.5;136;140;10.5;69.6
19.11. 13:15:00;24.1;0;20;11.5;136;140;10.5;69.6
19.11. 13:30:00;23.8;0;19.9;11.5;136;140;10.5;69.6
19.11. 13:45:00;23.5;0;19.8;11.5;136;140;10.5;69.6
19.11. 14:00:00;23.3;0;19.7;0;49.5;49.5;10.2;71.2
19.11. 14:15:00;23;0;19.6;0;49;49;10.2;71.2
19.11. 14:30:00;22.8;0;19.5;0;49;49;10.2;71.2
19.11. 14:45:00;22.5;0;19.5;0;49;49;10.2;71.2
19.11. 15:00:00;22.3;0;19.4;0;36.1;36.1;9.8;72.4
19.11. 15:15:00;22.1;0;19.3;0;36;36;9.8;72.4
19.11. 15:30:00;21.9;0;19.3;0;36;36;9.8;72.4
19.11. 15:45:00;21.7;0;19.2;0;36;36;9.8;72.4
19.11. 16:00:00;21.5;0;19.1;0;3.2;3.2;9.3;75.4
19.11. 16:15:00;21.4;0;19.1;0;3;3;9.3;75.4
19.11. 16:30:00;21.2;0;19;0;3;3;9.3;75.4
19.11. 16:45:00;21;0;19;0;3;3;9.3;75.4
19.11. 17:00:00;29.2;948;20.3;0;0.02;0.02;9.1;80.7
19.11. 17:15:00;29;950;25.2;0;0;0;9.1;80.7
19.11. 17:30:00;28.7;0;25;0;0;0;9.1;80.7
19.11. 17:45:00;28.2;0;24.7;0;0;0;9.1;80.7
19.11. 18:00:00;27.8;0;24.4;0;0;0;8.9;83.1
19.11. 18:15:00;27.3;0;24.1;0;0;0;8.9;83.1
19.11. 18:30:00;26.9;0;23.8;0;0;0;8.9;83.1
19.11. 18:45:00;26.4;0;23.5;0;0;0;8.9;83.1
19.11. 19:00:00;29.3;949;20.4;0;0;0;8.8;83.5
19.11. 19:15:00;29.2;950;25.3;0;0;0;8.8;83.5
19.11. 19:30:00;28.9;0;25.1;0;0;0;8.8;83.5
19.11. 19:45:00;28.4;0;24.7;0;0;0;8.8;83.5
19.11. 20:00:00;28;0;24.4;0;0;0;8.6;83.2
19.11. 20:15:00;27.5;0;24.1;0;0;0;8.6;83.2
19.11. 20:30:00;27;0;23.8;0;0;0;8.6;83.2
19.11. 20:45:00;27.7;948;22.8;0;0;0;8.6;83.2
19.11. 21:00:00;29.9;948;22.1;0;0;0;8.4;80.9
19.11. 21:15:00;32.3;0;26.5;0;0;0;8.4;80.9
19.11. 21:30:00;31.7;0;26;0;0;0;8.4;80.9
19.11. 21:45:00;31;0;25.6;0;0;0;8.4;80.9
19.11. 22:00:00;30.5;0;25.3;0;0;0;8.2;83
19.11. 22:15:00;29.8;0;24.9;0;0;0;8.2;83
19.11. 22:30:00;34.3;948;21.4;0;0;0;8.2;83
19.11. 22:45:00;28.2;948;28.1;0;0;0;8.2;83
19.11. 23:00:00;28.1;0;27.8;0;0;0;8.1;81.8
19.11. 23:15:00;27.7;0;27.3;0;0;0;8.1;81.8
19.11. 23:30:00;27.3;0;26.9;0;0;0;8.1;81.8
19.11. 23:45:00;26.9;0;26.5;0;0;0;8.1;81.8
20.11. 00:00:00;26.5;0;26.1;0;0;0;7.8;83
20.11. 00:15:00;26.6;947;24.4;0;0;0;7.8;83
20.11. 00:30:00;27.6;949;21.4;0;0;0;7.8;83
20.11. 00:45:00;29.9;948;25.3;0;0;0;7.8;83
20.11. 01:00:00;29.2;0;25.1;0;0;0;7.6;80.9
20.11. 01:15:00;28.6;0;24.7;0;0;0;7.6;80.9
20.11. 01:30:00;28.1;0;24.3;0;0;0;7.6;80.9
20.11. 01:45:00;31.5;948;23.1;0;0;0;7.6;80.9
20.11. 02:00:00;29.8;949;23.8;0;0;0;7.4;80
20.11. 02:15:00;29.3;0;23.5;0;0;0;7.4;80
20.11. 02:30:00;28.8;0;23.3;0;0;0;7.4;80
20.11. 02:45:00;28.3;0;23;0;0;0;7.4;80
20.11. 03:00:00;27.8;0;22.8;0;0;0;7.3;82.5
20.11. 03:15:00;28;949;22;0;0;0;7.3;82.5
20.11. 03:30:00;31.7;950;23.6;0;0;0;7.3;82.5
20.11. 03:45:00;31.2;0;24.6;0;0;0;7.3;82.5
20.11. 04:00:00;30.5;0;24.2;0;0;0;7.2;83.8
20.11. 04:15:00;29.9;0;23.9;0;0;0;7.2;83.8
20.11. 04:30:00;30.1;949;22.9;0;0;0;7.2;83.8
20.11. 04:45:00;31.3;950;22.5;0;0;0;7.2;83.8
20.11. 05:00:00;30.8;947;28.2;0;0;0;7.1;82
20.11. 05:15:00;30.2;0;27.5;0;0;0;7.1;82
20.11. 05:30:00;29.6;0;27;0;0;0;7.1;82
20.11. 05:45:00;29.1;0;26.6;0;0;0;7.1;82
20.11. 06:00:00;29.2;948;25.2;0;0;0;7.1;75.9
20.11. 06:15:00;31.7;950;22.1;0;0;0;7.1;75.9
20.11. 06:30:00;29.8;948;26.9;0;0;0;7.1;75.9
20.11. 06:45:00;29.4;0;26.5;0;0;0;7.1;75.9
20.11. 07:00:00;28.9;0;26;0;0;0;7.1;78.9
20.11. 07:15:00;28.4;0;25.7;0;0;0;7.1;78.9
20.11. 07:30:00;28;0;25.3;0;0;0;7.1;78.9
20.11. 07:45:00;28.4;948;23.9;0;0;0;7.1;78.9
20.11. 08:00:00;29.8;947;22.3;91;46.7;54.7;8.4;73.2
20.11. 08:15:00;29.4;0;22.2;91;47;55;8.4;73.2
20.11. 08:30:00;28.9;0;22;91;47;55;8.4;73.2
20.11. 08:45:00;28.4;0;21.8;91;47;55;8.4;73.2
20.11. 09:00:00;27.9;0;21.7;169;106;144;10.1;65.3
20.11. 09:15:00;27.4;0;21.5;169;106;144;10.1;65.3
20.11. 09:30:00;26.9;0;21.3;169;106;144;10.1;65.3
20.11. 09:45:00;26.5;0;21.2;169;106;144;10.1;65.3
20.11. 10:00:00;26.1;0;21;179;154;211;11.7;59.1
20.11. 10:15:00;25.7;0;20.9;179;154;211;11.7;59.1
20.11. 10:30:00;25.3;0;20.7;179;154;211;11.7;59.1
20.11. 10:45:00;25;0;20.6;179;154;211;11.7;59.1
20.11. 11:00:00;24.6;0;20.5;135;183;233;12.9;57.9
20.11. 11:15:00;24.3;0;20.3;135;183;233;12.9;57.9
20.11. 11:30:00;24;0;20.2;135;183;233;12.9;57.9
20.11. 11:45:00;23.7;0;20.1;135;183;233;12.9;57.9
20.11. 12:00:00;23.4;0;20;182;194;263;13.9;53.7
20.11. 12:15:00;23.2;0;19.9;182;194;263;13.9;53.7
20.11. 12:30:00;22.9;0;19.8;182;194;263;13.9;53.7
20.11. 12:45:00;22.7;0;19.7;182;194;263;13.9;53.7
20.11. 13:00:00;22.4;0;19.7;310;135;242;14.5;54.4
20.11. 13:15:00;22.2;0;19.6;310;135;242;14.5;54.4
20.11. 13:30:00;22;0;19.5;310;135;242;14.5;54.4
20.11. 13:45:00;21.8;0;19.4;310;135;242;14.5;54.4
20.11. 14:00:00;21.6;0;19.4;153;127;168;14.6;57.5
20.11. 14:15:00;21.5;0;19.3;153;127;168;14.6;57.5
20.11. 14:30:00;21.3;0;19.2;153;127;168;14.6;57.5
20.11. 14:45:00;21.1;0;19.2;153;127;168;14.6;57.5
20.11. 15:00:00;21;0;19.1;140;73.3;94.4;14.1;60.2
20.11. 15:15:00;20.8;0;19.1;140;73;94;14.1;60.2
20.11. 15:30:00;20.7;0;19;140;73;94;14.1;60.2
20.11. 15:45:00;20.6;0;19;140;73;94;14.1;60.2
20.11. 16:00:00;20.4;0;18.9;0;7.4;7.5;13;62.4
20.11. 16:15:00;20.3;0;18.9;0;7;7;13;62.4
20.11. 16:30:00;20.2;0;18.8;0;7;7;13;62.4
20.11. 16:45:00;20.1;0;18.8;0;7;7;13;62.4
20.11. 17:00:00;20;0;18.7;0;0.04;0.04;12.3;64.9
20.11. 17:15:00;19.9;0;18.7;0;0;0;12.3;64.9
20.11. 17:30:00;19.8;0;18.7;0;0;0;12.3;64.9
20.11. 17:45:00;19.7;0;18.6;0;0;0;12.3;64.9
20.11. 18:00:00;19.6;0;18.6;0;0;0;11.6;67.7
20.11. 18:15:00;19.5;0;18.6;0;0;0;11.6;67.7
20.11. 18:30:00;19.5;0;18.5;0;0;0;11.6;67.7
20.11. 18:45:00;19.4;0;18.5;0;0;0;11.6;67.7
20.11. 19:00:00;19.3;0;18.5;0;0;0;10.9;70.6
20.11. 19:15:00;19.3;0;18.5;0;0;0;10.9;70.6
20.11. 19:30:00;19.2;0;18.4;0;0;0;10.9;70.6
20.11. 19:45:00;19.1;0;18.4;0;0;0;10.9;70.6
20.11. 20:00:00;19.1;0;18.4;0;0;0;10.2;74.9
20.11. 20:15:00;19;0;18.4;0;0;0;10.2;74.9
20.11. 20:30:00;19;0;18.4;0;0;0;10.2;74.9
20.11. 20:45:00;18.9;0;18.3;0;0;0;10.2;74.9
20.11. 21:00:00;18.9;0;18.3;0;0;0;9.4;73.5
20.11. 21:15:00;18.8;0;18.3;0;0;0;9.4;73.5
20.11. 21:30:00;18.8;0;18.3;0;0;0;9.4;73.5
20.11. 21:45:00;18.8;0;18.3;0;0;0;9.4;73.5
20.11. 22:00:00;18.7;0;18.3;0;0;0;8.7;75.2
20.11. 22:15:00;18.7;0;18.3;0;0;0;8.7;75.2
20.11. 22:30:00;18.7;0;18.2;0;0;0;8.7;75.2
20.11. 22:45:00;18.6;0;18.2;0;0;0;8.7;75.2
20.11. 23:00:00;18.6;0;18.2;0;0;0;8;74.9
20.11. 23:15:00;18.6;0;18.2;0;0;0;8;74.9
20.11. 23:30:00;18.5;0;18.2;0;0;0;8;74.9
20.11. 23:45:00;18.5;0;18.2;0;0;0;8;74.9
21.11. 00:00:00;18.5;0;18.2;0;0;0;7.1;78.4
21.11. 00:15:00;18.5;0;18.2;0;0;0;7.1;78.5
21.11. 00:30:00;18.4;0;18.2;0;0;0;7.1;78.5
21.11. 00:45:00;18.4;0;18.2;0;0;0;7.1;78.5
21.11. 01:00:00;18.4;0;18.1;0;0;0;6.2;80.1
21.11. 01:15:00;18.4;0;18.1;0;0;0;6.2;80.1
21.11. 01:30:00;18.4;0;18.1;0;0;0;6.2;80.1
21.11. 01:45:00;18.3;0;18.1;0;0;0;6.2;80.1
21.11. 02:00:00;18.3;0;18.1;0;0;0;5.3;81.5
21.11. 02:15:00;18.3;0;18.1;0;0;0;5.3;81.5
21.11. 02:30:00;18.3;0;18.1;0;0;0;5.3;81.5
21.11. 02:45:00;18.3;0;18.1;0;0;0;5.3;81.5
21.11. 03:00:00;18.3;0;18.1;0;0;0;4.8;80.2
21.11. 03:15:00;18.3;0;18.1;0;0;0;4.8;80.2
21.11. 03:30:00;18.2;0;18.1;0;0;0;4.8;80.2
21.11. 03:45:00;18.2;0;18.1;0;0;0;4.8;80.2
21.11. 04:00:00;18.2;0;18.1;0;0;0;4.3;80.4
21.11. 04:15:00;18.2;0;18.1;0;0;0;4.3;80.4
21.11. 04:30:00;18.2;0;18.1;0;0;0;4.3;80.4
21.11. 04:45:00;18.2;0;18.1;0;0;0;4.3;80.4
21.11. 05:00:00;18.2;0;18.1;0;0;0;3.9;80.9
21.11. 05:15:00;18.2;0;18.1;0;0;0;3.9;80.9
21.11. 05:30:00;18.2;0;18.1;0;0;0;3.9;80.9
21.11. 05:45:00;18.2;0;18.1;0;0;0;3.9;80.9
21.11. 06:00:00;21.5;946;18.2;0;0;0;3.6;81.7
21.11. 06:15:00;32.3;949;23;0;0;0;3.6;81.7
21.11. 06:30:00;32;948;27.9;0;0;0;3.6;81.7
21.11. 06:45:00;31.5;0;27.3;0;0;0;3.6;81.7
21.11. 07:00:00;30.9;0;26.8;0;0;0;3.5;81.8
21.11. 07:15:00;30.9;948;25.2;0;0;0;3.5;81.8
21.11. 07:30:00;33;950;22.8;0;0;0;3.5;81.8
21.11. 07:45:00;32.1;949;28.6;0;0;0;3.5;81.8
21.11. 08:00:00;31.6;0;28.1;71.6;43.8;49.7;4.3;75.9
21.11. 08:15:00;31;0;27.6;71.6;44;50;4.3;75.9
21.11. 08:30:00;30.4;0;27.1;71.6;44;50;4.3;75.9
21.11. 08:45:00;29.8;0;26.7;71.6;44;50;4.3;75.9
21.11. 09:00:00;29.3;0;26.3;104;107;130;5.4;72.1
21.11. 09:15:00;28.7;0;25.9;104;107;130;5.4;72.1
21.11. 09:30:00;28.2;0;25.5;104;107;130;5.4;72.1
21.11. 09:45:00;27.7;0;25.1;104;107;130;5.4;72.1
21.11. 10:00:00;27.2;0;24.8;92;156;185;6.3;68
21.11. 10:15:00;26.8;0;24.4;92;156;185;6.3;68
21.11. 10:30:00;26.3;0;24.1;92;156;185;6.3;68
21.11. 10:45:00;25.9;0;23.8;92;156;185;6.3;68
21.11. 11:00:00;25.6;0;23.5;114;182;224;7.1;63.4
21.11. 11:15:00;25.2;0;23.3;114;182;224;7.1;63.4
21.11. 11:30:00;24.8;0;23;114;182;224;7.1;63.4
21.11. 11:45:00;24.5;0;22.8;114;182;224;7.1;63.4
21.11. 12:00:00;24.2;0;22.5;143;190;244;7.8;57.3
21.11. 12:15:00;23.9;0;22.3;143;190;244;7.8;57.3
21.11. 12:30:00;23.6;0;22.1;143;190;244;7.8;57.3
21.11. 12:45:00;23.3;0;21.9;143;190;244;7.8;57.3
21.11. 13:00:00;23.1;0;21.7;108;167;204;8;55.3
21.11. 13:15:00;22.8;0;21.5;108;167;204;8;55.3
21.11. 13:30:00;22.6;0;21.4;108;167;204;8;55.3
21.11. 13:45:00;22.4;0;21.2;108;167;204;8;55.3
21.11. 14:00:00;22.2;0;21;98.3;124;150;8;56
21.11. 14:15:00;21.9;0;20.9;98.3;124;150;8;56
21.11. 14:30:00;21.8;0;20.8;98.3;124;150;8;56
21.11. 14:45:00;21.6;0;20.6;98.3;124;150;8;56
21.11. 15:00:00;21.4;0;20.5;33.9;62.3;67.5;7.4;57
21.11. 15:15:00;21.2;0;20.4;33.9;62;67;7.4;57
21.11. 15:30:00;21.1;0;20.3;33.9;62;67;7.4;57
21.11. 15:45:00;20.9;0;20.1;33.9;62;67;7.4;57
21.11. 16:00:00;20.8;0;20;0;2.3;2.4;6.6;59.2
21.11. 16:15:00;20.6;0;19.9;0;2;2;6.6;59.2
21.11. 16:30:00;20.5;0;19.9;0;2;2;6.6;59.2
21.11. 16:45:00;20.4;0;19.8;0;2;2;6.6;59.2
21.11. 17:00:00;20.3;0;19.7;0;0.01;0.01;6;66.7
21.11. 17:15:00;20.1;0;19.6;0;0;0;6;66.7
21.11. 17:30:00;20;0;19.5;0;0;0;6;66.7
21.11. 17:45:00;19.9;0;19.4;0;0;0;6;66.7
21.11. 18:00:00;19.8;0;19.4;0;0;0;5.4;67.9
21.11. 18:15:00;19.8;0;19.3;0;0;0;5.4;67.9
21.11. 18:30:00;19.7;0;19.2;0;0;0;5.4;67.9
21.11. 18:45:00;19.6;0;19.2;0;0;0;5.4;67.9
21.11. 19:00:00;19.5;0;19.1;0;0;0;4.8;66.5
21.11. 19:15:00;19.4;0;19.1;0;0;0;4.8;66.5
21.11. 19:30:00;19.4;0;19;0;0;0;4.8;66.5
21.11. 19:45:00;19.3;0;19;0;0;0;4.8;66.5
21.11. 20:00:00;21.1;954;18.9;0;0;0;4.2;67.4
21.11. 20:15:00;33.2;957;22.2;0;0;0;4.2;67.4
21.11. 20:30:00;30.5;957;27.5;0;0;0;4.2;67.4
21.11. 20:45:00;30.2;0;27.2;0;0;0;4.2;67.4
21.11. 21:00:00;29.8;0;26.8;0;0;0;3.6;64
21.11. 21:15:00;29.2;0;26.3;0;0;0;3.6;64
21.11. 21:30:00;33.7;949;21.8;0;0;0;3.6;64
21.11. 21:45:00;31.2;951;27.5;0;0;0;3.6;64
21.11. 22:00:00;31;0;27.2;0;0;0;3;68.3
21.11. 22:15:00;30.5;0;26.8;0;0;0;3;68.3
21.11. 22:30:00;30;0;26.4;0;0;0;3;68.3
21.11. 22:45:00;30.7;951;24.9;0;0;0;3;68.3
21.11. 23:00:00;32.9;953;23.1;0;0;0;2.4;71.1
21.11. 23:15:00;34.3;951;28.6;0;0;0;2.4;71.1
21.11. 23:30:00;33.3;0;28;0;0;0;2.4;71.1
21.11. 23:45:00;32.6;0;27.5;0;0;0;2.4;71.1
22.11. 00:00:00;32.6;950;26.1;0;0;0;2.1;77.1
22.11. 00:15:00;34.2;952;23.1;0;0;0;2.1;77.2
22.11. 00:30:00;34;950;29.4;0;0;0;2.1;77.2
22.11. 00:45:00;33;0;28.6;0;0;0;2.1;77.2
22.11. 01:00:00;32.4;0;28;0;0;0;1.8;81.1
22.11. 01:15:00;32.6;947;26.2;0;0;0;1.8;81.2
22.11. 01:30:00;33.6;949;23.4;0;0;0;1.8;81.2
22.11. 01:45:00;37.9;948;29.4;0;0;0;1.8;81.2
22.11. 02:00:00;37.2;0;28.7;0;0;0;1.5;83
22.11. 02:15:00;36.2;0;28.1;0;0;0;1.5;83
22.11. 02:30:00;35.6;952;26.2;0;0;0;1.5;83
22.11. 02:45:00;33.8;954;23.5;0;0;0;1.5;83
22.11. 03:00:00;35.5;951;29.1;0;0;0;1.3;83.9
22.11. 03:15:00;34.9;0;28.4;0;0;0;1.3;83.9
22.11. 03:30:00;34;0;27.8;0;0;0;1.3;83.9
22.11. 03:45:00;33.9;950;26;0;0;0;1.3;83.9
22.11. 04:00:00;33.6;952;23.5;0;0;0;1.2;83.4
22.11. 04:15:00;35;949;29.2;0;0;0;1.2;83.4
22.11. 04:30:00;34;0;28.5;0;0;0;1.2;83.4
22.11. 04:45:00;33.2;0;28;0;0;0;1.2;83.4
22.11. 05:00:00;33.3;950;26.4;0;0;0;1.1;85.3
22.11. 05:15:00;34.6;953;23.3;0;0;0;1.1;85.3
22.11. 05:30:00;35;950;29.8;0;0;0;1.1;85.3
22.11. 05:45:00;34;0;29;0;0;0;1.1;85.3
22.11. 06:00:00;33.3;0;28.4;0;0;0;1;89.6
22.11. 06:15:00;33.4;949;26.5;0;0;0;1;89.6
22.11. 06:30:00;34.4;951;23.6;0;0;0;1;89.6
22.11. 06:45:00;35.1;948;29.6;0;0;0;1;89.6
22.11. 07:00:00;34.1;0;28.9;0;0;0;1;88.1
22.11. 07:15:00;33.3;0;28.3;0;0;0;1;88.1
22.11. 07:30:00;33.4;947;26.4;0;0;0;1;88.1
22.11. 07:45:00;34;950;23.5;0;0;0;1;88.1
22.11. 08:00:00;37.1;948;30;0;6;6;1.1;86
22.11. 08:15:00;36.5;0;29.4;0;6;6;1.1;86
22.11. 08:30:00;35.6;0;28.8;0;6;6;1.1;86
22.11. 08:45:00;35.2;949;24.8;0;6;6;1.1;86
22.11. 09:00:00;33.2;947;26.9;0;21.9;21.9;1.4;89.2
22.11. 09:15:00;32.6;0;26.5;0;22;22;1.4;89.2
22.11. 09:30:00;35.4;948;24.7;0;22;22;1.4;89.2
22.11. 09:45:00;34.7;948;26.6;0;22;22;1.4;89.2
22.11. 10:00:00;34;0;26.2;0;33.9;33.9;1.6;86.9
22.11. 10:15:00;33.2;0;25.8;0;34;34;1.6;86.9
22.11. 10:30:00;34.5;949;24.1;0;34;34;1.6;86.9
22.11. 10:45:00;32.9;0;26.8;0;34;34;1.6;86.9
22.11. 11:00:00;32.3;0;26.4;0;63.8;63.8;2.1;86.1
22.11. 11:15:00;31.6;0;26;0;64;64;2.1;86.1
22.11. 11:30:00;35.5;949;24.3;0;64;64;2.1;86.1
22.11. 11:45:00;34;948;26.5;0;64;64;2.1;86.1
22.11. 12:00:00;33.3;0;26.1;0;40.1;40.1;2.2;91.4
